,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,,800-200012.02,,CNX24606G6,CHN,,0,,,0,0603,1,n/a,IOM 1,n/a,N9Z46A,DCN5
1,,800-200012.02,,CNX24606G6,CHN,,1,,,0,0603,1,n/a,IOM 1,n/a,N9Z46A,DCN5
2,,800-200012.02,,CNX24606G6,CHN,,0,,,0,0603,0,n/a,IOM 0,n/a,N9Z46A,DCN5
3,,800-200012.02,,CNX24606G6,CHN,,1,,,0,0603,0,n/a,IOM 0,n/a,N9Z46A,DCN5
4,,800-200012.02,,CNX24606GG,CHN,,0,,,0,0603,0,n/a,IOM 0,n/a,N9Z46A,DCN5
5,,800-200012.02,,CNX24606GG,CHN,,1,,,0,0603,0,n/a,IOM 0,n/a,N9Z46A,DCN5
6,,800-200012.02,,CNX24606GG,CHN,,0,,,0,0603,1,n/a,IOM 1,n/a,N9Z46A,DCN5
7,,800-200012.02,,CNX24606GG,CHN,,1,,,0,0603,1,n/a,IOM 1,n/a,N9Z46A,DCN5
8,,800-200012.02,,CNX24701XX,CHN,,0,,,0,0603,1,n/a,IOM 1,n/a,N9Z46A,DCN5
9,,800-200012.02,,CNX24701XX,CHN,,1,,,0,0603,1,n/a,IOM 1,n/a,N9Z46A,DCN5
10,,800-200012.02,,CNX24701XX,CHN,,0,,,0,0603,0,n/a,IOM 0,n/a,N9Z46A,DCN5
11,,800-200012.02,,CNX24701XX,CHN,,1,,,0,0603,0,n/a,IOM 0,n/a,N9Z46A,DCN5
12,,800-200012.02,,CNX24701Y8,CHN,,0,,,0,0603,1,n/a,IOM 1,n/a,N9Z46A,DCN5
13,,800-200012.02,,CNX24701Y8,CHN,,1,,,0,0603,1,n/a,IOM 1,n/a,N9Z46A,DCN5
14,,800-200012.02,,CNX24701Y8,CHN,,0,,,0,0603,0,n/a,IOM 0,n/a,N9Z46A,DCN5
15,,800-200012.02,,CNX24701Y8,CHN,,1,,,0,0603,0,n/a,IOM 0,n/a,N9Z46A,DCN5
16,,800-200012.02,,CNX247053V,CHN,,0,,,1,0602,1,HPE     600 IOM,IOM 1,P04033-001,N9Z46A,DCN5
17,,800-200012.02,,CNX247053V,CHN,,0,,,1,0602,1,HPE     600 IOM,IOM 1,P04033-001,N9Z50A,DCS12
18,,800-200012.02,,CNX247053V,CHN,,1,,,1,0602,1,HPE     600 IOM,IOM 1,P04033-001,N9Z46A,DCN5
19,,800-200012.02,,CNX247053V,CHN,,1,,,1,0602,1,HPE     600 IOM,IOM 1,P04033-001,N9Z50A,DCS12
20,,800-200012.02,,CNX247053V,CHN,,0,,,1,0602,0,HPE     600 IOM,IOM 0,P04033-001,N9Z46A,DCN5
21,,800-200012.02,,CNX247053V,CHN,,0,,,1,0602,0,HPE     600 IOM,IOM 0,P04033-001,N9Z50A,DCS12
22,,800-200012.02,,CNX247053V,CHN,,1,,,1,0602,0,HPE     600 IOM,IOM 0,P04033-001,N9Z46A,DCN5
23,,800-200012.02,,CNX247053V,CHN,,1,,,1,0602,0,HPE     600 IOM,IOM 0,P04033-001,N9Z50A,DCS12
24,,800-200012.02,,CNX247053V,CHN,,0,,,0,0603,1,n/a,IOM 1,n/a,N9Z46A,DCN5
25,,800-200012.02,,CNX247053V,CHN,,0,,,0,0603,1,n/a,IOM 1,n/a,N9Z50A,DCS12
26,,800-200012.02,,CNX247053V,CHN,,1,,,0,0603,1,n/a,IOM 1,n/a,N9Z46A,DCN5
27,,800-200012.02,,CNX247053V,CHN,,1,,,0,0603,1,n/a,IOM 1,n/a,N9Z50A,DCS12
28,,800-200012.02,,CNX247053V,CHN,,0,,,0,0603,0,n/a,IOM 0,n/a,N9Z46A,DCN5
29,,800-200012.02,,CNX247053V,CHN,,0,,,0,0603,0,n/a,IOM 0,n/a,N9Z50A,DCS12
30,,800-200012.02,,CNX247053V,CHN,,1,,,0,0603,0,n/a,IOM 0,n/a,N9Z46A,DCN5
31,,800-200012.02,,CNX247053V,CHN,,1,,,0,0603,0,n/a,IOM 0,n/a,N9Z50A,DCS12
32,,800-200012.02,,CNX24800NZ,CHN,,0,,,0,0603,0,n/a,IOM 0,n/a,N9Z46A,DCN5
33,,800-200012.02,,CNX24800NZ,CHN,,1,,,0,0603,0,n/a,IOM 0,n/a,N9Z46A,DCN5
34,,800-200012.02,,CNX24800NZ,CHN,,0,,,0,0603,1,n/a,IOM 1,n/a,N9Z46A,DCN5
35,,800-200012.02,,CNX24800NZ,CHN,,1,,,0,0603,1,n/a,IOM 1,n/a,N9Z46A,DCN5
36,,800-200012.02,,CNX241053H,CHN,,0,,,0,0603,0,n/a,IOM 0,n/a,N9Z47A,DCN5
37,,800-200012.02,,CNX241053H,CHN,,1,,,0,0603,0,n/a,IOM 0,n/a,N9Z47A,DCN5
38,,800-200012.02,,CNX241053H,CHN,,0,,,0,0603,1,n/a,IOM 1,n/a,N9Z47A,DCN5
39,,800-200012.02,,CNX241053H,CHN,,1,,,0,0603,1,n/a,IOM 1,n/a,N9Z47A,DCN5
40,,800-200012.02,,CNX24202TR,CHN,,0,,,0,0603,0,n/a,IOM 0,n/a,N9Z47A,DCN5
41,,800-200012.02,,CNX24202TR,CHN,,1,,,0,0603,0,n/a,IOM 0,n/a,N9Z47A,DCN5
42,,800-200012.02,,CNX24202TR,CHN,,0,,,0,0603,1,n/a,IOM 1,n/a,N9Z47A,DCN5
43,,800-200012.02,,CNX24202TR,CHN,,1,,,0,0603,1,n/a,IOM 1,n/a,N9Z47A,DCN5
44,,800-200012.02,,CNX24303LF,CHN,,0,,,0,0603,1,n/a,IOM 1,n/a,N9Z47A,DCN5
45,,800-200012.02,,CNX24303LF,CHN,,1,,,0,0603,1,n/a,IOM 1,n/a,N9Z47A,DCN5
46,,800-200012.02,,CNX24303LF,CHN,,0,,,0,0603,0,n/a,IOM 0,n/a,N9Z47A,DCN5
47,,800-200012.02,,CNX24303LF,CHN,,1,,,0,0603,0,n/a,IOM 0,n/a,N9Z47A,DCN5
48,,800-200012.02,,CNX24904XK,CHN,,0,,,1,0603,0,n/a,IOM 0,n/a,N9Z47A,DCN5
49,,800-200012.02,,CNX24904XK,CHN,,0,,,1,0603,0,n/a,IOM 0,n/a,N9Z47A,DCN5
50,,800-200012.02,,CNX24904XK,CHN,,0,,,1,0603,0,n/a,IOM 0,n/a,N9Z50A,DCS12
51,,800-200012.02,,CNX24904XK,CHN,,0,,,1,0603,0,n/a,IOM 0,n/a,N9Z50A,DCS12
52,,800-200012.02,,CNX24904XK,CHN,,0,,,1,0603,0,n/a,IOM 0,n/a,N9Z50A,DCS12
