1404877,3.2.1.292 (MU3),InServ V400,4.0,496238592.0,361095168.0,3.2.1.292 (MU3),3.2.1.452 (P38),3.2.1.292 (MU3),3.2.1.292 (MU3),0,SAN,920-200009.D2,00006990,False,True,16384,32768,100
1615256,3.2.2.709 (MU6),HP_3PAR 7400,4.0,32309248.0,3878912.0,3.2.2.709 (MU6),3.2.2.809 (P165),3.2.2.709 (MU6),3.2.2.771 (P135),2,FXN,QR483-63001,PCMBUA7TM5B02J,True,True,8192,8192,100
1615925,3.2.2.709 (MU6),HP_3PAR 7400,4.0,407018496.0,109780992.0,3.2.2.709 (MU6),3.2.2.809 (P165),3.2.2.709 (MU6),3.2.2.771 (P135),0,FXN,QR483-63001,PCMBUA6TM4F0TG,True,True,8192,8192,100
1615962,3.2.2.709 (MU6),HP_3PAR 7400,2.0,56411136.0,45063168.0,3.2.2.709 (MU6),3.2.2.791 (P149),3.2.2.709 (MU6),3.2.2.771 (P135),0,FXN,QR483-63001,PCMBUA6TM4D0FD,True,True,8192,8192,100
1616826,3.2.2.530 (MU3),HP_3PAR 7200,2.0,77399040.0,7925760.0,3.2.2.530 (MU3),3.2.2.546 (P41),3.2.2.530 (MU3),3.2.2.530 (MU3),1,FXN,QR482-63001,PDHWNB6LM8K0N3,False,True,8192,4096,100
1621061,3.2.2.709 (MU6),HP_3PAR 7400,4.0,312174592.0,74496000.0,3.2.2.709 (MU6),3.2.2.791 (P149),3.2.2.709 (MU6),3.2.2.771 (P135),3,FXN,QR483-63001,PCMBUA7TM4U01U,False,True,8192,8192,100
1621119,3.3.1.460 (MU3),HPE_3PAR 7200,2.0,29270016.0,5578752.0,3.3.1.460 (MU3),3.3.1.460 (MU3),3.3.1.460 (MU3),3.3.1.460 (MU3),1,FXN,QR482-63001,PCMBUA5TM3X0D2,True,True,8192,4096,100
1631102,3.2.2.709 (MU6),HP_3PAR 7200,2.0,84894720.0,14657536.0,3.2.2.709 (MU6),3.2.2.809 (P165),3.2.2.709 (MU6),3.2.2.771 (P135),0,FXN,QR482-63001,PCMBUA6TM4I0C4,False,True,8192,4096,100
1631283,3.3.1.460 (MU3),HPE_3PAR 7400,4.0,231710720.0,19901440.0,3.3.1.460 (MU3),3.3.1.654 (P128),3.3.1.460 (MU3),3.3.1.522 (P58),2,FXN,QR483-63001,PCMBUA6TM4G1P4,False,True,8192,8192,100
1632591,3.2.2.709 (MU6),HP_3PAR 7200,2.0,61427712.0,21271552.0,3.2.2.709 (MU6),3.2.2.791 (P149),3.2.2.709 (MU6),3.2.2.771 (P135),1,FXN,QR482-63001,PDHWNB5TM6V20S,True,True,8192,4096,100
1634082,3.2.2.709 (MU6),HP_3PAR 7400,4.0,108666880.0,61625344.0,3.2.2.709 (MU6),3.2.2.725 (P99),3.2.2.709 (MU6),3.2.2.709 (MU6),0,FXN,QR483-63001,PCMBUA7TM4R16X,False,True,8192,8192,100
1638750,3.2.2.709 (MU6),HP_3PAR 7200,2.0,37054464.0,21993472.0,3.2.2.709 (MU6),3.2.2.809 (P165),3.2.2.709 (MU6),3.2.2.771 (P135),0,FXN,QR482-63001,PCMBUA8TM5M0R9,True,True,8192,4096,100
1645742,3.2.2.709 (MU6),HP_3PAR 7200,2.0,87134208.0,34050048.0,3.2.2.709 (MU6),3.2.2.774 (P138),3.2.2.709 (MU6),3.2.2.771 (P135),0,FXN,QR482-63001,PCMBUA8TM5N03Y,False,True,8192,4096,100
1648242,3.3.1.460 (MU3),HPE_3PAR 7400,2.0,66173952.0,41968640.0,3.3.1.460 (MU3),3.3.1.654 (P128),3.3.1.460 (MU3),3.3.1.522 (P58),1,FXN,QR483-63001,PDHWNB5TM6V05G,False,True,8192,8192,100
